"location","latitude","longitude"
"nanak sarani",22.5595976,88.3486517
"lovers lane",22.5488943,88.3405709
" casuarina avenue",22.5537576,88.3439313
"khidderpore road",22.5345638,88.3158943
"hastings crossing",22.5487295,88.3360765
"pal sarani",22.6021664,88.372078
"way crossing",22.5817067,88.3742099
"strand road crossing",22.5736711,88.3455579
"chandra street",22.5668013,88.3600088
"kar road",22.6026908,88.3762338
"canal west road crossing",22.5836268,88.3790035
"house street",22.5700544,88.3470893
"lahiri sarani",22.5122933,88.3233164
"gawalior ghat",22.5609476,88.3343013
"due road",22.6289638,88.4166987
"budgebudge road",22.5152252,88.2892377
"chingrighata flyover",22.5582586,88.4126652
"procession st",22.572646,88.363895
"alimuddin street",22.5553437,88.3609323
"ripon street",22.5536291,88.3586746
"bedford lane",22.5526595,88.3615278
"bose flyover",22.5413388,88.3536302
"loudon street crossing",22.5448965,88.3566596
"akra road crossing",22.5424593,88.2652948
"loudon st",22.5448965,88.3566596
"theatre road crossing",22.5446879,88.3560408
"rawdon st",22.5443785,88.3583574
"karaya road",22.5389378,88.3617089
"nasiruddin road crossing",22.5414042,88.3643299
"avneue crossing",22.5210149,88.3706328
"connection road",22.4903512,88.3866322
"t road",22.9160523,88.4110027
"maniktala crossing",22.5863743,88.376133
"ajc flyover",22.5413388,88.3536302
"dai ghat",22.5500598,88.3237005
"cgr road",22.5438705,88.2945446
"paul road",22.5096851,88.3254575
"sen lane",22.5917994,88.3880018
"procession dps road",22.5045685,88.3461118
"dps road",22.5045685,88.3461118
"pretoria street",22.5434751,88.3512496
"park crossing",22.5410939,88.3681333
"bad road",22.572402,88.4035857
"c flyover",22.5225843,88.3654568
"darga road",22.5423877,88.3709386
"surawardy avenue",22.5440663,88.3682491
"sinha road",22.5436671,88.3488718
"rashbehari crossing",22.5210149,88.3706328
"bose  flyover",22.5413388,88.3536302
"raja bazar",22.5729891,88.3756019
"amherst street crossing",22.5777658,88.3692471
"normal park  flyover",22.5555356,88.3500793
"burdwan road",22.5221657,88.327646
"vivekananda road crossing",22.5854684,88.3689629
"park road",22.5410939,88.3681333
"colootala street",22.5754855,88.3589944
"nc street",22.568838,88.34443
"court crossing",22.572646,88.363895
" nimakmahal road crossing",22.572646,88.363895
"court road",22.5244657,88.3334149
"lalbati crossing",22.526009,88.331188
"pandit road crossing",22.7535624,88.3708199
"sealdah road",22.5634401,88.3753854
"sobhabazar street",22.5742457,88.3628573
"towards sobhabazar ghat",22.5991946,88.3566827
"clyde road",22.5492578,88.3283768
"commissariat road crossing",22.5502216,88.3285978
"doctor road",22.5407457,88.3185324
"watt gunj street",22.572646,88.363895
"bagbazar street",22.6035671,88.3701022
"girish avenue",22.601808,88.3672771
"paharpur road",22.5430456,88.2865391
"fatepur lane",22.5429809,88.2921891
"paharpur road crossing",22.5430456,88.2865391
"kalakar street",22.5838046,88.3545286
"chatterjee street",22.5277325,88.3416685
"hazra road crossing",22.5244718,88.3529036
"bose ghat",22.529011,88.3436035
"bose  road",22.5270146,88.3527005
"sealdah flyover",22.5666378,88.3692912
"near beckbagan crossing",22.540924,88.358848
"spm road",22.5060745,88.3426817
"moulai crossing",22.5616149,88.3660934
"new road",22.5245811,88.3276469
"meyo road",22.5595976,88.3486517
"khidirpore crossing",22.54206,88.3189579
"cgr road crossing",22.5438705,88.2945446
"hospital road crossing",22.5456036,88.3406867
"gathering esplanade crossing",22.5609409,88.3540616
"park street crossing",22.5410939,88.3681333
"wood street",22.5466526,88.3540487
"middleton street crossing",22.5489421,88.3511251
"camac street crossing",22.5458296,88.3528315
"theatre road",22.5446879,88.3560408
"cum road",22.4598432,88.382923
"santoshpore road",22.4934112,88.3892351
"molla lane",22.5469229,88.277826
"akra road",22.5424593,88.2652948
"shimpukur lane",22.5462292,88.279301
"service road",22.581148,88.458717
"girishpark crossing",22.5866603,88.361256
"g road crossing",22.7614387,88.3744573
"belvedare road",22.5338747,88.3346765
"library avenue",22.533089,88.3297714
"raipur road",22.4853513,88.3682597
"gurusaday road",22.535363,88.3608544
"kaiser street",22.5704497,88.3721555
"harsi street",22.5757933,88.374449
"gas street",22.5763701,88.3743995
"pal avenue",22.5952445,88.360603
"watgunge street crossing",22.5535048,88.3565745
"mullick road",22.5808053,88.3545152
"tagor street",22.5902034,88.3559867
"gc avenue",22.5675537,88.3564717
"naskar road",22.4693413,88.349532
"moulali  crossing",22.5616149,88.3660934
"sil street",22.5640785,88.3525844
" kyd street crossing",22.5558264,88.3524332
"gopalnagar road",22.5207286,88.3379519
"hat road",22.5200134,88.3359448
"judges ct road",22.5244657,88.3334149
"ct road",22.7696724,88.3489587
"khan road",22.5365279,88.3914623
"esplanade crossing",22.5609409,88.3540616
"cr avenue crossing",22.5804966,88.3611692
"golpark crossing",22.5160144,88.3661777
"amharst street",22.5777658,88.3692471
"near rd",22.5410939,88.3681333
"near  street",22.5410939,88.3681333
"bardhaman road",22.5221657,88.327646
"mominpur crossing",22.53084,88.322177
"braboure road",22.5785427,88.3523255
"– manicktala street",22.586475,88.3695673
"urquhart street",22.587219,88.3691774
"sarkar street",22.5673498,88.3539716
"simla street",22.5859555,88.3647045
"mukherjee street",22.5994127,88.3755943
"long sarani",22.4819183,88.3135372
"jm avenue crossing",22.5952779,88.365021
"pandit road",22.7535624,88.3708199
"garcha road",22.5256822,88.3645977
"rashbehari avenue",22.5210149,88.3706328
"7point crossing",22.5429764,88.3658848
"c avenue crossing",22.572646,88.363895
"p road",22.6061059,88.3184037
"casuarina avenue",22.5537576,88.3439313
"saltlake stadium",22.5690538,88.4090443
"mukherjee kalighat road crossing",22.522515,88.346822
"kalighat road crossing",22.5238922,88.3419339
"rr road",22.4880835,88.3258492
"mukherjee road crossing",22.5345383,88.346127
"bt road",22.6812304,88.3757267
"rashmoni avenue",22.5645097,88.3479284
"big bazar",22.5660231,88.3695393
"rb avenue crossing",22.5210149,88.3706328
"khiderpore crossing",22.541474,88.326154
"belvedere road",22.5338747,88.3346765
"elgin road crossing",22.5377811,88.3507267
"dh road",22.4430442,88.2958777
"ganguly street crossing",22.569418,88.3611769
"bentinck street",22.5698373,88.3531189
"beliaghata road",22.5630093,88.3953604
"chingrighata crossing",22.5684816,88.3940973
"diverted mg road crossing",22.4609999,88.3292444
"beninandan street",22.5366989,88.3453012
"mallick road",22.4904397,88.3722914
"c st",22.494496,88.370907
"ganguly st",22.569418,88.3611769
"park  flyover",22.5555356,88.3500793
"ajc bose road crossing",22.5494582,88.3624905
"bentinck street crossing",22.5698373,88.3531189
"mohan lane",22.5138231,88.3439521
"tagore street",22.5902034,88.3559867
"nasiruddin road",22.5414042,88.3643299
"circus avenue crossing",22.5429499,88.3656491
"rb avenue",22.5210149,88.3706328
"ajc bose  flyover",22.5413388,88.3536302
"shah road",22.4975588,88.3557802
"rasul avenue crossing",22.5089869,88.3469082
"tc road",22.5057881,88.3363678
"kl das road",22.5171767,88.3612923
"cossipore road",22.6214932,88.3728618
"das road",22.5167725,88.353863
"r avenue crossing",22.7090084,88.3841417
"rammohan sarani",22.5767382,88.3688035
"5point crossing",22.6018726,88.373725
"bose avenue",22.5270146,88.3527005
"chandra avenue",22.5675537,88.3564717
"vidyavinod avenue",22.6065722,88.3692059
"chitpur road",22.5760838,88.3527712
"thakur road",22.6427374,88.3747536
"seth road",22.5839951,88.3527808
"d road",22.7602964,88.3753203
"bysack street",22.58554,88.353624
"jm avenue",22.5952779,88.365021
"belvedere road crossing",22.5338747,88.3346765
"paddapukur road",22.5326983,88.3490803
"exhibition road",22.540856,88.3670234
"chatterjee road",22.4795243,88.2033927
"dutta road",22.535363,88.3608544
"affected sudder street",22.5582481,88.3527309
"gitanjali stadium",22.5150419,88.3940921
"ali avenue",22.538784,88.3652569
"manicktala crossing",22.586475,88.3695673
"bypass narkeldanga crossing",22.577486,88.3809858
"ultadanga flyover",22.590542,88.3963363
"gopal nagar road",22.5207286,88.3379519
"lenin sarani crossing",22.562807,88.3592526
"dufferin road crossing",22.5591679,88.3476981
"duffrin road",22.5591679,88.3476981
"mayo road crossing",22.5595976,88.3486517
"nehru road crossing",22.5540362,88.3498154
"behari crossing",22.5210149,88.3706328
"near zakaria street crossing",22.5771603,88.3579762
"zakaria street crossing",22.5771603,88.3579762
"tapsia road",22.5345873,88.3861746
"bypass crossing",22.4634236,88.3941083
"connector crossing",22.9770788,88.4435945
"shyampukur lane",22.5972951,88.3692879
"mayurbhanj crossing",22.5293077,88.3221853
"strand  st",22.5736711,88.3455579
"closed hare street",22.5715848,88.3460607
"fairlie crossing",22.5751963,88.3476868
"pandit st",22.537628,88.3432061
"line crossing",22.5462633,88.3676259
"sukhia street",22.5820453,88.3727667
"closed nimtala ghat",22.5922985,88.3563555
"nimtala  street",22.5922985,88.3563555
"kankurgachi crossing",22.5767061,88.3933912
"sen st",22.572735,88.3671104
"muktaram babu st",22.5825772,88.3618364
"tegore street",22.5902034,88.3559867
"debendra road",22.5909955,88.3532546
"hariram goenko street",22.5836642,88.3551456
"heysham road",22.536304,88.3512293
"madhab road",22.5358997,88.3498047
"aston road",22.5333641,88.3521192
"padmapukur road",22.4794311,88.3637686
"mitra road",22.5288483,88.3491006
"townshed road",22.5288483,88.3491006
"allenby road",22.5359864,88.3511431
"canning st",22.577478,88.3516452
"kalakar st",22.5838046,88.3545286
"cotton st",22.5821261,88.3527811
"mullick st crossing",22.5808053,88.3545152
"amratala st",22.5789472,88.354098
"canning st crossing",22.577478,88.3516452
"ezra st",22.5756625,88.353235
"dutta street",22.5780319,88.3584216
"r sarani",22.5902882,88.3594026
"das street",22.5812029,88.3581135
"goenka street",22.5836642,88.3551456
"approach road",22.5709483,88.3455852
"church street",22.5785087,88.353012
"tagore st",22.5902034,88.3559867
"kanoria road",22.585582,88.3415366
"gunguly street",22.569418,88.3611769
"market street",22.5604246,88.3552807
"radha bazar",22.5730986,88.3521643
"radha  street",22.5734228,88.3519208
